samAccountName,distinguishedName,displayName,userPrincipalName,enabled,lastLogonTimestamp,memberOf,description
joseph.bowers,"CN=Joseph Bowers,OU=Manufacturing,DC=northwind,DC=local",Joseph Bowers,joseph.bowers@northwindmaterials.com,TRUE,134325707235091936,All-Employees;Manufacturing-All,"Manager, Manufacturing - Manufacturing"
johnny.miller,"CN=Johnny Miller,OU=QualityAssurance,DC=northwind,DC=local",Johnny Miller,johnny.miller@northwindmaterials.com,TRUE,134277616050519696,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
vincent.dillon,"CN=Vincent Dillon,OU=Manufacturing,DC=northwind,DC=local",Vincent Dillon,vincent.dillon@northwindmaterials.com,TRUE,134294369053610016,All-Employees;Manufacturing-All,Machine Operator - Manufacturing
lisa.pearson,"CN=Lisa Pearson,OU=Legal,DC=northwind,DC=local",Lisa Pearson,lisa.pearson@northwindmaterials.com,TRUE,134304692064709056,All-Employees;Legal-All,Paralegal - Legal
alexander.waters,"CN=Alexander Waters,OU=CustomerSuccess,DC=northwind,DC=local",Alexander Waters,alexander.waters@northwindmaterials.com,TRUE,134291222586774528,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
donna.espinoza,"CN=Donna Espinoza,OU=Legal,DC=northwind,DC=local",Donna Espinoza,donna.espinoza@northwindmaterials.com,TRUE,134309393391692848,All-Employees;Legal-All,Compliance Analyst - Legal
ctr.andre.grant,"CN=Andre Grant,OU=Contractors,DC=northwind,DC=local",Andre Grant,andre.grant@contractor.northwindmaterials.com,TRUE,134323972202383664,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
david.harris,"CN=David Harris,OU=InformationTechnology,DC=northwind,DC=local",David Harris,david.harris@northwindmaterials.com,FALSE,134287842081324576,All-Employees;Information-Technology-All,Systems Administrator - Information Technology
daniel.elliott,"CN=Daniel Elliott,OU=QualityAssurance,DC=northwind,DC=local",Daniel Elliott,daniel.elliott@northwindmaterials.com,TRUE,134257776916332240,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
andrew.deleon,"CN=Andrew Deleon,OU=Engineering,DC=northwind,DC=local",Andrew Deleon,andrew.deleon@northwindmaterials.com,TRUE,134250742410152688,All-Employees;Engineering-All,QA Engineer - Engineering
tina.herrera,"CN=Tina Herrera,OU=InformationTechnology,DC=northwind,DC=local",Tina Herrera,tina.herrera@northwindmaterials.com,TRUE,134321562911975728,All-Employees;Information-Technology-All,"Manager, Information Technology - Information Technology"
kenneth.rodriguez,"CN=Kenneth Rodriguez,OU=Manufacturing,DC=northwind,DC=local",Kenneth Rodriguez,kenneth.rodriguez@northwindmaterials.com,FALSE,134254591755909904,All-Employees;Manufacturing-All;Plant-Ops-Leads,Machine Operator - Manufacturing
erica.le,"CN=Erica Le,OU=Finance,DC=northwind,DC=local",Erica Le,erica.le@northwindmaterials.com,TRUE,134311276167228864,All-Employees;Finance-All,Accountant - Finance
john.charles,"CN=John Charles,OU=SupplyChain,DC=northwind,DC=local",John Charles,john.charles@northwindmaterials.com,TRUE,134252687538674656,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
