username,name,email,profile,permission_sets,is_active,last_login
jessica.bird@northwindmaterials.com,Jessica Bird,jessica.bird@northwindmaterials.com,System Administrator,Revenue_Admin|Data_Export,TRUE,2026-08-09T06:23:17.913602
joshua.thomas@northwindmaterials.com,Joshua Thomas,joshua.thomas@northwindmaterials.com,Standard User,Revenue_Admin,TRUE,2026-07-23T22:28:24.610120
matthew.welch@northwindmaterials.com,Matthew Welch,matthew.welch@northwindmaterials.com,Standard User,Data_Export,TRUE,2026-07-12T05:58:16.984583
nicholas.johnson@northwindmaterials.com,Nicholas Johnson,nicholas.johnson@northwindmaterials.com,Read Only,Opportunity_Approver,FALSE,2026-07-20T22:15:28.545534
edward.shaffer@northwindmaterials.com,Edward Shaffer,edward.shaffer@northwindmaterials.com,Read Only,Data_Export|Revenue_Admin,TRUE,2026-07-25T05:32:23.766453
vicki.mendoza@acquiredbrand.com,Vicki Mendoza,vicki.mendoza@acquiredbrand.com,System Administrator,Opportunity_Approver,TRUE,2026-06-25T14:23:31.311093
stanley.morris@northwindmaterials.com,Stanley Morris,stanley.morris@northwindmaterials.com,System Administrator,Revenue_Admin,TRUE,2026-08-09T23:34:33.910455
james.anderson@acquiredbrand.com,James Anderson,james.anderson@acquiredbrand.com,Sales Admin,Revenue_Admin|Opportunity_Approver,TRUE,2026-05-28T03:40:23.479049
kimberly.bradley@northwindmaterials.com,Kimberly Bradley,kimberly.bradley@northwindmaterials.com,Read Only,Revenue_Admin,TRUE,2026-05-10T08:01:12.209569
jon.parker@northwindmaterials.com,Jon Parker,jon.parker@northwindmaterials.com,Sales Admin,,TRUE,2026-07-02T15:31:50.433951
connie.simmons@northwindmaterials.com,Connie Simmons,connie.simmons@northwindmaterials.com,System Administrator,Data_Export|Report_Builder,TRUE,2026-05-09T23:45:37.838565
patricia.evans@northwindmaterials.com,Patricia Evans,patricia.evans@northwindmaterials.com,Standard User,Report_Builder,TRUE,2026-06-06T07:18:59.400597
terrance.franco@acquiredbrand.com,Terrance Franco,terrance.franco@acquiredbrand.com,System Administrator,,FALSE,2026-05-18T16:27:57.551509
troy.khan@northwindmaterials.com,Troy Khan,troy.khan@northwindmaterials.com,Read Only,Revenue_Admin|Report_Builder,TRUE,2026-06-27T17:01:15.976813
ivan.jones@northwindmaterials.com,Ivan Jones,ivan.jones@northwindmaterials.com,Read Only,,TRUE,2026-07-15T13:07:13.283116
travis.brown@northwindmaterials.com,Travis Brown,travis.brown@northwindmaterials.com,Sales Admin,Data_Export|Revenue_Admin,TRUE,2026-07-14T07:34:21.924755
stacey.joyce@northwindmaterials.com,Stacey Joyce,stacey.joyce@northwindmaterials.com,Sales Admin,Report_Builder,TRUE,2026-06-01T17:53:42.437562
randy.velasquez@northwindmaterials.com,Randy Velasquez,randy.velasquez@northwindmaterials.com,Read Only,Report_Builder|Opportunity_Approver,TRUE,2026-05-06T22:15:13.857925
maurice.jenkins@northwindmaterials.com,Maurice Jenkins,maurice.jenkins@northwindmaterials.com,Read Only,Data_Export,FALSE,2026-05-06T12:22:06.756989
david.munoz@northwindmaterials.com,David Munoz,david.munoz@northwindmaterials.com,Sales Admin,,FALSE,2026-08-06T08:55:12.838883
samuel.holmes@northwindmaterials.com,Samuel Holmes,samuel.holmes@northwindmaterials.com,System Administrator,,TRUE,2026-07-12T11:11:06.618561
joseph.wright@northwindmaterials.com,Joseph Wright,joseph.wright@northwindmaterials.com,Read Only,,TRUE,2026-05-04T22:23:00.260509
dominique.turner@northwindmaterials.com,Dominique Turner,dominique.turner@northwindmaterials.com,Standard User,Opportunity_Approver,TRUE,2026-06-28T18:54:10.519403
richard.robertson@acquiredbrand.com,Richard Robertson,richard.robertson@acquiredbrand.com,Standard User,Data_Export|Revenue_Admin,TRUE,2026-05-20T02:26:49.872792
anthony.wilson@northwindmaterials.com,Anthony Wilson,anthony.wilson@northwindmaterials.com,System Administrator,Report_Builder,TRUE,2026-08-28T09:32:17.653759
scott.mills@northwindmaterials.com,Scott Mills,scott.mills@northwindmaterials.com,Read Only,Opportunity_Approver|Data_Export,TRUE,2026-05-08T19:35:00.969279
tracy.hernandez@northwindmaterials.com,Tracy Hernandez,tracy.hernandez@northwindmaterials.com,Standard User,,TRUE,2026-07-07T09:23:05.949860
sydney.baker@northwindmaterials.com,Sydney Baker,sydney.baker@northwindmaterials.com,Standard User,Report_Builder,TRUE,2026-07-06T16:14:21.866730
elizabeth.williams@northwindmaterials.com,Elizabeth Williams,elizabeth.williams@northwindmaterials.com,System Administrator,,TRUE,2026-06-13T20:40:58.160044
dillon.weaver@northwindmaterials.com,Dillon Weaver,dillon.weaver@northwindmaterials.com,Standard User,,TRUE,2026-05-06T07:51:51.124063
tina.gould@northwindmaterials.com,Tina Gould,tina.gould@northwindmaterials.com,Read Only,Revenue_Admin,TRUE,2026-06-29T18:17:34.272561
stephanie.jones@northwindmaterials.com,Stephanie Jones,stephanie.jones@northwindmaterials.com,System Administrator,Report_Builder|Data_Export,TRUE,2026-08-11T22:58:07.057308
gina.garner@northwindmaterials.com,Gina Garner,gina.garner@northwindmaterials.com,Read Only,Opportunity_Approver|Data_Export,TRUE,2026-06-23T04:25:37.712654
cheyenne.garrett@acquiredbrand.com,Cheyenne Garrett,cheyenne.garrett@acquiredbrand.com,Standard User,,TRUE,2026-06-09T11:52:30.089882
colton.clay@northwindmaterials.com,Colton Clay,colton.clay@northwindmaterials.com,Sales Admin,Report_Builder,TRUE,2026-06-11T10:30:22.413682
thomas.proctor@northwindmaterials.com,Thomas Proctor,thomas.proctor@northwindmaterials.com,Read Only,Data_Export|Revenue_Admin,TRUE,2026-06-14T20:58:28.085659
cameron.santiago@acquiredbrand.com,Cameron Santiago,cameron.santiago@acquiredbrand.com,Read Only,,TRUE,2026-05-13T22:43:46.422570
edward.prince@northwindmaterials.com,Edward Prince,edward.prince@northwindmaterials.com,System Administrator,,TRUE,2026-08-05T07:53:12.093246
tiffany.moon@acquiredbrand.com,Tiffany Moon,tiffany.moon@acquiredbrand.com,Read Only,Data_Export,TRUE,2026-07-02T15:11:51.250685
jill.porter@northwindmaterials.com,Jill Porter,jill.porter@northwindmaterials.com,System Administrator,,TRUE,2026-05-10T00:34:10.491199
tracy.guerrero@northwindmaterials.com,Tracy Guerrero,tracy.guerrero@northwindmaterials.com,Standard User,Data_Export,TRUE,2026-06-09T04:31:05.467084
grant.novak@northwindmaterials.com,Grant Novak,grant.novak@northwindmaterials.com,Sales Admin,,TRUE,2026-08-30T10:49:28.178769
amy.gutierrez@northwindmaterials.com,Amy Gutierrez,amy.gutierrez@northwindmaterials.com,Read Only,,FALSE,2026-07-02T13:48:34.120429
julie.phillips@northwindmaterials.com,Julie Phillips,julie.phillips@northwindmaterials.com,Sales Admin,Opportunity_Approver,TRUE,2026-07-20T07:21:35.101871
jerry.robinson@northwindmaterials.com,Jerry Robinson,jerry.robinson@northwindmaterials.com,Read Only,Data_Export,TRUE,2026-08-21T15:09:31.832308
debra.moore@northwindmaterials.com,Debra Moore,debra.moore@northwindmaterials.com,Sales Admin,Opportunity_Approver,TRUE,2026-08-13T13:03:28.269583
zoe.bell@northwindmaterials.com,Zoe Bell,zoe.bell@northwindmaterials.com,Sales Admin,Data_Export|Report_Builder,TRUE,2026-08-24T21:35:12.538391
matthew.gallegos@northwindmaterials.com,Matthew Gallegos,matthew.gallegos@northwindmaterials.com,Read Only,Revenue_Admin|Opportunity_Approver,TRUE,2026-05-16T16:54:05.758412
kevin.ortiz@northwindmaterials.com,Kevin Ortiz,kevin.ortiz@northwindmaterials.com,Standard User,Data_Export,TRUE,2026-05-31T06:09:40.854296
martha.warner@northwindmaterials.com,Martha Warner,martha.warner@northwindmaterials.com,Sales Admin,,TRUE,2026-08-11T10:18:53.302347
denise.webster@northwindmaterials.com,Denise Webster,denise.webster@northwindmaterials.com,Standard User,Report_Builder|Opportunity_Approver,TRUE,2026-05-21T00:33:18.501888
jon.wyatt@acquiredbrand.com,Jon Wyatt,jon.wyatt@acquiredbrand.com,Sales Admin,Revenue_Admin,TRUE,2026-08-31T14:23:46.570465
robert.adkins@northwindmaterials.com,Robert Adkins,robert.adkins@northwindmaterials.com,System Administrator,,TRUE,2026-08-15T17:47:58.771492
amy.morris@northwindmaterials.com,Amy Morris,amy.morris@northwindmaterials.com,Sales Admin,Opportunity_Approver,TRUE,2026-07-30T06:50:58.833399
william.armstrong@acquiredbrand.com,William Armstrong,william.armstrong@acquiredbrand.com,Read Only,Revenue_Admin|Opportunity_Approver,TRUE,2026-05-31T12:51:46.145082
jesse.benson@northwindmaterials.com,Jesse Benson,jesse.benson@northwindmaterials.com,Read Only,Report_Builder,TRUE,2026-05-14T22:29:17.353481
tammy.jordan@northwindmaterials.com,Tammy Jordan,tammy.jordan@northwindmaterials.com,Standard User,Opportunity_Approver,TRUE,2026-07-30T06:25:50.841412
randall.guerrero@northwindmaterials.com,Randall Guerrero,randall.guerrero@northwindmaterials.com,System Administrator,Data_Export,TRUE,2026-08-09T20:22:19.685897
jacob.thompson@northwindmaterials.com,Jacob Thompson,jacob.thompson@northwindmaterials.com,Standard User,Data_Export|Report_Builder,FALSE,2026-08-10T07:30:18.495878
todd.lewis@northwindmaterials.com,Todd Lewis,todd.lewis@northwindmaterials.com,Read Only,Report_Builder,TRUE,2026-07-07T21:10:05.172496
amber.taylor@northwindmaterials.com,Amber Taylor,amber.taylor@northwindmaterials.com,System Administrator,Opportunity_Approver,TRUE,2026-05-04T23:13:52.006705
mark.steele@northwindmaterials.com,Mark Steele,mark.steele@northwindmaterials.com,Read Only,,TRUE,2026-07-25T23:08:05.278234
renee.jones@northwindmaterials.com,Renee Jones,renee.jones@northwindmaterials.com,Standard User,,TRUE,2026-05-10T16:10:26.494822
jennifer.lewis@northwindmaterials.com,Jennifer Lewis,jennifer.lewis@northwindmaterials.com,System Administrator,,TRUE,2026-08-18T08:57:34.984456
brenda.goodwin@northwindmaterials.com,Brenda Goodwin,brenda.goodwin@northwindmaterials.com,Sales Admin,Opportunity_Approver,TRUE,2026-05-09T13:03:33.841987
john.le@northwindmaterials.com,John Le,john.le@northwindmaterials.com,Read Only,Opportunity_Approver|Data_Export,TRUE,2026-05-10T03:14:59.147910
daniel.hicks@northwindmaterials.com,Daniel Hicks,daniel.hicks@northwindmaterials.com,Sales Admin,,FALSE,2026-06-09T21:21:19.695014
michele.campbell@northwindmaterials.com,Michele Campbell,michele.campbell@northwindmaterials.com,Standard User,Opportunity_Approver|Revenue_Admin,TRUE,2026-06-05T00:32:02.893787
shawn.edwards@northwindmaterials.com,Shawn Edwards,shawn.edwards@northwindmaterials.com,Sales Admin,Revenue_Admin,TRUE,2026-07-25T22:12:51.103890
nicole.suarez@northwindmaterials.com,Nicole Suarez,nicole.suarez@northwindmaterials.com,Standard User,,TRUE,2026-08-07T08:53:17.345172
david.dudley@northwindmaterials.com,David Dudley,david.dudley@northwindmaterials.com,Read Only,Data_Export,TRUE,2026-06-18T22:07:21.420615
kimberly.johnson@northwindmaterials.com,Kimberly Johnson,kimberly.johnson@northwindmaterials.com,Read Only,Revenue_Admin|Opportunity_Approver,TRUE,2026-07-27T05:09:16.961629
john.grant@northwindmaterials.com,John Grant,john.grant@northwindmaterials.com,Standard User,Opportunity_Approver,TRUE,2026-08-23T08:35:31.965979
amanda.smith@northwindmaterials.com,Amanda Smith,amanda.smith@northwindmaterials.com,Standard User,Opportunity_Approver,TRUE,2026-07-13T09:20:42.821041
jeffrey.williams@northwindmaterials.com,Jeffrey Williams,jeffrey.williams@northwindmaterials.com,System Administrator,,TRUE,2026-05-18T18:18:57.918691
loretta.barnes@acquiredbrand.com,Loretta Barnes,loretta.barnes@acquiredbrand.com,System Administrator,Data_Export,FALSE,2026-06-11T16:40:41.232122
lauren.gardner@northwindmaterials.com,Lauren Gardner,lauren.gardner@northwindmaterials.com,Sales Admin,,TRUE,2026-05-22T03:14:39.372974
steven.bishop@northwindmaterials.com,Steven Bishop,steven.bishop@northwindmaterials.com,System Administrator,,TRUE,2026-07-13T11:17:42.963211
william.reid@northwindmaterials.com,William Reid,william.reid@northwindmaterials.com,Standard User,Revenue_Admin,TRUE,2026-08-14T09:26:33.553956
jessica.rodriguez@northwindmaterials.com,Jessica Rodriguez,jessica.rodriguez@northwindmaterials.com,Sales Admin,Opportunity_Approver|Revenue_Admin,TRUE,2026-08-19T19:58:26.308247
julie.alvarez@northwindmaterials.com,Julie Alvarez,julie.alvarez@northwindmaterials.com,Standard User,,TRUE,2026-07-19T19:16:57.011441
jenna.moore@northwindmaterials.com,Jenna Moore,jenna.moore@northwindmaterials.com,Read Only,Revenue_Admin|Data_Export,TRUE,2026-07-23T13:31:03.079560
madison.figueroa@northwindmaterials.com,Madison Figueroa,madison.figueroa@northwindmaterials.com,System Administrator,,TRUE,2026-07-05T23:40:46.054015
chad.torres@northwindmaterials.com,Chad Torres,chad.torres@northwindmaterials.com,Read Only,Data_Export,TRUE,2026-06-02T05:42:27.097787
kevin.walker@northwindmaterials.com,Kevin Walker,kevin.walker@northwindmaterials.com,Standard User,,TRUE,2026-06-30T17:25:45.248950
hannah.butler@northwindmaterials.com,Hannah Butler,hannah.butler@northwindmaterials.com,Read Only,Revenue_Admin|Data_Export,TRUE,2026-07-02T04:29:56.619877
nancy.baker@northwindmaterials.com,Nancy Baker,nancy.baker@northwindmaterials.com,Read Only,Revenue_Admin,TRUE,2026-06-07T00:57:35.321193
wendy.atkinson@northwindmaterials.com,Wendy Atkinson,wendy.atkinson@northwindmaterials.com,Sales Admin,,TRUE,2026-08-05T02:12:52.721481
leslie.patterson@northwindmaterials.com,Leslie Patterson,leslie.patterson@northwindmaterials.com,Read Only,,TRUE,2026-07-01T07:11:39.022572
jeffrey.barton@northwindmaterials.com,Jeffrey Barton,jeffrey.barton@northwindmaterials.com,Read Only,,TRUE,2026-05-15T09:22:55.898331
kelly.arroyo@northwindmaterials.com,Kelly Arroyo,kelly.arroyo@northwindmaterials.com,System Administrator,Revenue_Admin|Data_Export,TRUE,2026-08-04T07:39:42.155795
joshua.pineda@northwindmaterials.com,Joshua Pineda,joshua.pineda@northwindmaterials.com,System Administrator,Opportunity_Approver|Revenue_Admin,TRUE,2026-07-28T17:46:42.110583
lisa.long@northwindmaterials.com,Lisa Long,lisa.long@northwindmaterials.com,Sales Admin,Data_Export,TRUE,2026-06-15T17:40:04.543533
kenneth.jenkins@northwindmaterials.com,Kenneth Jenkins,kenneth.jenkins@northwindmaterials.com,Sales Admin,Report_Builder,TRUE,2026-08-12T15:21:40.459006
vanessa.phillips@northwindmaterials.com,Vanessa Phillips,vanessa.phillips@northwindmaterials.com,Read Only,Opportunity_Approver|Revenue_Admin,TRUE,2026-06-02T11:02:37.042139
scott.lewis@northwindmaterials.com,Scott Lewis,scott.lewis@northwindmaterials.com,Read Only,,TRUE,2026-07-21T00:44:48.134915
joseph.miller@northwindmaterials.com,Joseph Miller,joseph.miller@northwindmaterials.com,System Administrator,Data_Export,TRUE,2026-08-15T01:53:12.517545
sara.little@northwindmaterials.com,Sara Little,sara.little@northwindmaterials.com,Sales Admin,Revenue_Admin|Report_Builder,TRUE,2026-07-26T18:29:57.795028
rebecca.bailey@northwindmaterials.com,Rebecca Bailey,rebecca.bailey@northwindmaterials.com,Sales Admin,Revenue_Admin|Report_Builder,TRUE,2026-05-13T09:24:57.164834
sean.white@northwindmaterials.com,Sean White,sean.white@northwindmaterials.com,Read Only,Report_Builder,TRUE,2026-07-02T17:27:52.419054
kim.hancock@northwindmaterials.com,Kim Hancock,kim.hancock@northwindmaterials.com,Standard User,,TRUE,2026-05-29T20:55:45.686401
megan.parsons@northwindmaterials.com,Megan Parsons,megan.parsons@northwindmaterials.com,System Administrator,Report_Builder|Revenue_Admin,TRUE,2026-07-23T20:02:13.153827
debbie.hunt@northwindmaterials.com,Debbie Hunt,debbie.hunt@northwindmaterials.com,Sales Admin,Opportunity_Approver|Revenue_Admin,TRUE,2026-06-29T13:16:23.252048
joy.wilson@northwindmaterials.com,Joy Wilson,joy.wilson@northwindmaterials.com,Read Only,Opportunity_Approver|Data_Export,TRUE,2026-06-19T13:58:24.385396
brandon.christian@northwindmaterials.com,Brandon Christian,brandon.christian@northwindmaterials.com,Sales Admin,Revenue_Admin|Data_Export,TRUE,2026-07-01T21:25:09.318416
susan.cowan@northwindmaterials.com,Susan Cowan,susan.cowan@northwindmaterials.com,Standard User,Opportunity_Approver,TRUE,2026-06-14T05:29:47.045385
desiree.garrison@northwindmaterials.com,Desiree Garrison,desiree.garrison@northwindmaterials.com,System Administrator,Revenue_Admin|Opportunity_Approver,TRUE,2026-08-10T01:18:24.492600
jodi.hancock@northwindmaterials.com,Jodi Hancock,jodi.hancock@northwindmaterials.com,Read Only,,TRUE,2026-08-03T18:24:55.055141
andrea.pennington@northwindmaterials.com,Andrea Pennington,andrea.pennington@northwindmaterials.com,Sales Admin,Data_Export,TRUE,2026-07-05T01:06:38.423705
pamela.moore@northwindmaterials.com,Pamela Moore,pamela.moore@northwindmaterials.com,Read Only,Report_Builder,TRUE,2026-06-10T23:28:26.400299
darlene.henry@northwindmaterials.com,Darlene Henry,darlene.henry@northwindmaterials.com,Sales Admin,Opportunity_Approver,TRUE,2026-08-25T16:49:05.925577
joseph.zuniga@northwindmaterials.com,Joseph Zuniga,joseph.zuniga@northwindmaterials.com,System Administrator,Opportunity_Approver,FALSE,2026-07-28T09:30:56.166626
brian.dickerson@acquiredbrand.com,Brian Dickerson,brian.dickerson@acquiredbrand.com,Read Only,Report_Builder,TRUE,2026-07-22T00:13:59.858316
michelle.mccarty@northwindmaterials.com,Michelle Mccarty,michelle.mccarty@northwindmaterials.com,Standard User,Revenue_Admin,TRUE,2026-08-14T02:41:02.758317
hector.mullen@northwindmaterials.com,Hector Mullen,hector.mullen@northwindmaterials.com,Read Only,Revenue_Admin,TRUE,2026-05-17T01:18:07.806362
amanda.fitzpatrick@northwindmaterials.com,Amanda Fitzpatrick,amanda.fitzpatrick@northwindmaterials.com,Read Only,Data_Export|Opportunity_Approver,TRUE,2026-05-19T23:34:27.372629
kevin.dean@northwindmaterials.com,Kevin Dean,kevin.dean@northwindmaterials.com,Read Only,,TRUE,2026-08-22T09:05:17.026572
david.johnston@acquiredbrand.com,David Johnston,david.johnston@acquiredbrand.com,Sales Admin,,TRUE,2026-06-19T15:27:29.363499
paula.cole@northwindmaterials.com,Paula Cole,paula.cole@northwindmaterials.com,Standard User,Revenue_Admin|Report_Builder,TRUE,2026-06-27T16:00:13.875481
erin.pierce@northwindmaterials.com,Erin Pierce,erin.pierce@northwindmaterials.com,Sales Admin,Revenue_Admin|Data_Export,TRUE,2026-07-17T19:58:36.450873
jose.donovan@northwindmaterials.com,Jose Donovan,jose.donovan@northwindmaterials.com,Sales Admin,,TRUE,2026-05-28T17:41:58.902570
samantha.bush@northwindmaterials.com,Samantha Bush,samantha.bush@northwindmaterials.com,System Administrator,Opportunity_Approver,TRUE,2026-06-21T09:35:24.463104
deborah.lynch@northwindmaterials.com,Deborah Lynch,deborah.lynch@northwindmaterials.com,Standard User,Report_Builder,TRUE,2026-05-12T14:40:52.369027
laura.grant@northwindmaterials.com,Laura Grant,laura.grant@northwindmaterials.com,Standard User,Opportunity_Approver|Revenue_Admin,TRUE,2026-06-24T03:30:38.418484
emily.adams@northwindmaterials.com,Emily Adams,emily.adams@northwindmaterials.com,Sales Admin,Opportunity_Approver,TRUE,2026-07-25T17:26:45.886725
chloe.green@northwindmaterials.com,Chloe Green,chloe.green@northwindmaterials.com,Sales Admin,,TRUE,2026-08-26T13:18:15.970589
roy.hawkins@northwindmaterials.com,Roy Hawkins,roy.hawkins@northwindmaterials.com,Sales Admin,,TRUE,2026-07-12T15:27:27.983855
gerald.petersen@northwindmaterials.com,Gerald Petersen,gerald.petersen@northwindmaterials.com,Sales Admin,,TRUE,2026-05-16T14:56:43.179293
john.butler@northwindmaterials.com,John Butler,john.butler@northwindmaterials.com,System Administrator,,TRUE,2026-06-28T16:32:52.329876
rebecca.hernandez@northwindmaterials.com,Rebecca Hernandez,rebecca.hernandez@northwindmaterials.com,Standard User,,TRUE,2026-05-17T05:39:33.694942
christine.sanchez@northwindmaterials.com,Christine Sanchez,christine.sanchez@northwindmaterials.com,System Administrator,Report_Builder|Opportunity_Approver,TRUE,2026-05-17T14:22:25.073019
brandon.flynn@northwindmaterials.com,Brandon Flynn,brandon.flynn@northwindmaterials.com,Standard User,,TRUE,2026-05-06T08:46:23.705923
gina.henry@northwindmaterials.com,Gina Henry,gina.henry@northwindmaterials.com,Sales Admin,Report_Builder,TRUE,2026-06-28T16:14:19.833669
kelsey.le@northwindmaterials.com,Kelsey Le,kelsey.le@northwindmaterials.com,System Administrator,Revenue_Admin|Data_Export,TRUE,2026-06-05T09:15:33.143154
robert.fowler@northwindmaterials.com,Robert Fowler,robert.fowler@northwindmaterials.com,Read Only,Report_Builder|Data_Export,TRUE,2026-06-30T12:34:20.713780
stephen.solis@northwindmaterials.com,Stephen Solis,stephen.solis@northwindmaterials.com,Sales Admin,Opportunity_Approver|Revenue_Admin,TRUE,2026-07-07T01:56:59.922699
george.greer@northwindmaterials.com,George Greer,george.greer@northwindmaterials.com,Sales Admin,,TRUE,2026-06-15T14:38:08.350784
matthew.moore@northwindmaterials.com,Matthew Moore,matthew.moore@northwindmaterials.com,System Administrator,,TRUE,2026-05-18T13:46:45.979806
brandon.nichols@northwindmaterials.com,Brandon Nichols,brandon.nichols@northwindmaterials.com,Read Only,,TRUE,2026-07-09T09:52:34.613885
melinda.christian@northwindmaterials.com,Melinda Christian,melinda.christian@northwindmaterials.com,Read Only,,TRUE,2026-06-15T21:44:57.417211
john.wilson@northwindmaterials.com,John Wilson,john.wilson@northwindmaterials.com,Standard User,Revenue_Admin|Opportunity_Approver,TRUE,2026-05-29T19:45:00.554085
jose.edwards@northwindmaterials.com,Jose Edwards,jose.edwards@northwindmaterials.com,Sales Admin,,TRUE,2026-06-21T00:09:09.516561
jill.stewart@northwindmaterials.com,Jill Stewart,jill.stewart@northwindmaterials.com,Sales Admin,Report_Builder,TRUE,2026-06-25T01:50:36.454336
robert.house@northwindmaterials.com,Robert House,robert.house@northwindmaterials.com,Standard User,,TRUE,2026-06-13T10:10:11.183840
henry.lewis@northwindmaterials.com,Henry Lewis,henry.lewis@northwindmaterials.com,Standard User,Report_Builder,TRUE,2026-06-26T08:03:39.315033
ronald.ortega@northwindmaterials.com,Ronald Ortega,ronald.ortega@northwindmaterials.com,Read Only,Opportunity_Approver,TRUE,2026-06-17T17:58:06.041568
maria.potter@northwindmaterials.com,Maria Potter,maria.potter@northwindmaterials.com,Standard User,,FALSE,2026-05-10T06:30:25.468004
charles.soto@northwindmaterials.com,Charles Soto,charles.soto@northwindmaterials.com,Sales Admin,,TRUE,2026-06-19T06:39:53.579190
jeffery.freeman@northwindmaterials.com,Jeffery Freeman,jeffery.freeman@northwindmaterials.com,Read Only,Opportunity_Approver,TRUE,2026-08-23T17:41:50.933904
virginia.stanley@northwindmaterials.com,Virginia Stanley,virginia.stanley@northwindmaterials.com,Standard User,Data_Export,FALSE,2026-05-27T15:31:23.103384
alexandra.green@northwindmaterials.com,Alexandra Green,alexandra.green@northwindmaterials.com,System Administrator,Report_Builder|Opportunity_Approver,TRUE,2026-05-27T02:36:53.801973
shelley.woods@northwindmaterials.com,Shelley Woods,shelley.woods@northwindmaterials.com,Sales Admin,,TRUE,2026-05-25T13:44:16.443899
lauren.bolton@northwindmaterials.com,Lauren Bolton,lauren.bolton@northwindmaterials.com,Standard User,Opportunity_Approver,TRUE,2026-06-06T11:39:57.655959
zoe.peters@northwindmaterials.com,Zoe Peters,zoe.peters@northwindmaterials.com,System Administrator,Revenue_Admin|Report_Builder,TRUE,2026-07-16T06:27:02.258742
cathy.maxwell@acquiredbrand.com,Cathy Maxwell,cathy.maxwell@acquiredbrand.com,Sales Admin,Report_Builder,TRUE,2026-07-05T14:37:16.195868
danielle.gonzales@northwindmaterials.com,Danielle Gonzales,danielle.gonzales@northwindmaterials.com,Standard User,Opportunity_Approver|Revenue_Admin,TRUE,2026-05-17T11:27:05.526213
megan.murphy@northwindmaterials.com,Megan Murphy,megan.murphy@northwindmaterials.com,Read Only,Revenue_Admin,TRUE,2026-05-10T08:37:47.188601
brittney.carter@northwindmaterials.com,Brittney Carter,brittney.carter@northwindmaterials.com,Sales Admin,,TRUE,2026-06-03T05:57:33.931882
crystal.cain@northwindmaterials.com,Crystal Cain,crystal.cain@northwindmaterials.com,Read Only,Opportunity_Approver,FALSE,2026-05-17T16:55:06.407343
daniel.graham@northwindmaterials.com,Daniel Graham,daniel.graham@northwindmaterials.com,Read Only,,TRUE,2026-05-18T04:44:28.210701
karen.decker@northwindmaterials.com,Karen Decker,karen.decker@northwindmaterials.com,Read Only,Data_Export,TRUE,2026-08-19T18:46:06.121569
brian.gutierrez@acquiredbrand.com,Brian Gutierrez,brian.gutierrez@acquiredbrand.com,System Administrator,,TRUE,2026-07-12T09:39:49.861069
amanda.glover@northwindmaterials.com,Amanda Glover,amanda.glover@northwindmaterials.com,Read Only,Data_Export,FALSE,2026-06-02T00:38:57.631353
chad.hodges@northwindmaterials.com,Chad Hodges,chad.hodges@northwindmaterials.com,Standard User,,TRUE,2026-07-07T05:32:21.722854
charles.ware@northwindmaterials.com,Charles Ware,charles.ware@northwindmaterials.com,Standard User,Data_Export|Revenue_Admin,TRUE,2026-06-06T10:19:23.862747
alyssa.barajas@northwindmaterials.com,Alyssa Barajas,alyssa.barajas@northwindmaterials.com,Read Only,,TRUE,2026-08-18T06:53:19.803961
erica.le@northwindmaterials.com,Erica Le,erica.le@northwindmaterials.com,Standard User,,TRUE,2026-07-27T07:35:43.302519
tammy.hart@northwindmaterials.com,Tammy Hart,tammy.hart@northwindmaterials.com,Sales Admin,Report_Builder|Opportunity_Approver,TRUE,2026-06-21T22:07:51.850152
meredith.tran@northwindmaterials.com,Meredith Tran,meredith.tran@northwindmaterials.com,Sales Admin,Revenue_Admin,TRUE,2026-06-20T12:30:36.085897
elijah.rivera@northwindmaterials.com,Elijah Rivera,elijah.rivera@northwindmaterials.com,Sales Admin,,TRUE,2026-05-30T18:16:41.870773
john.mueller@northwindmaterials.com,John Mueller,john.mueller@northwindmaterials.com,Standard User,,TRUE,2026-08-11T06:19:03.837396
steven.matthews@northwindmaterials.com,Steven Matthews,steven.matthews@northwindmaterials.com,System Administrator,Opportunity_Approver|Data_Export,TRUE,2026-07-26T09:02:57.494554
caleb.joseph@northwindmaterials.com,Caleb Joseph,caleb.joseph@northwindmaterials.com,System Administrator,,TRUE,2026-07-02T19:05:39.773237
courtney.hernandez@northwindmaterials.com,Courtney Hernandez,courtney.hernandez@northwindmaterials.com,System Administrator,,TRUE,2026-05-24T21:33:49.906696
christina.gonzalez@northwindmaterials.com,Christina Gonzalez,christina.gonzalez@northwindmaterials.com,System Administrator,,TRUE,2026-05-28T19:17:50.572432
charles.velazquez@northwindmaterials.com,Charles Velazquez,charles.velazquez@northwindmaterials.com,Sales Admin,,TRUE,2026-07-19T19:16:11.036842
